method,run,event_index,eventno,evt,stave,amplitude_adc,taxon,traditional_score,ml_score,q_template_rmse,pca_recon_mse,ae_recon_mse,isolation_anomaly_score,peak_sample,late_fraction,baseline_mad,saturation_count,secondary_peak,post_peak_min,timing_span_dup
traditional_robust_template,65,9153,657780,11737,B6,2487.5,novel_early_pretrigger,334.4087,2.398476,0.5000425,0.004780115,0.0188931,0.50811124,3,0.0066830222,1222.0,1,0.80703515,-0.40180904,1.7439921
traditional_robust_template,65,37336,685963,5226,B6,2056.5,novel_early_pretrigger,331.05725,2.276681,0.63057804,0.006471103,0.01097438,0.5351511,3,0.0,1209.5,1,0.88232434,-0.56479454,1.7138846
traditional_robust_template,65,2022,650649,5542,B6,2530.0,novel_early_pretrigger,316.3376,2.191331,0.5902893,0.005081427,0.015203984,0.5129983,3,0.0,1156.0,1,0.8055336,-0.42608696,1.7568527
traditional_robust_template,65,8998,657625,11593,B6,1585.5,unassigned_common,294.6451,1.8930993,0.8032697,0.002870688,0.010941926,0.5555967,6,0.0,1076.5,1,0.99306214,-0.79880166,1.710978
traditional_robust_template,65,21369,669996,6764,B6,1326.5,unassigned_common,272.87515,2.434135,0.7715788,0.0006395418,0.018721921,0.5832519,4,0.0,997.0,1,0.71353185,-1.0655861,1.6949302
traditional_robust_template,65,1665,650292,5205,B8,1804.5,novel_early_pretrigger,417.68182,4.793397,0.7194812,0.007870373,0.034179337,0.57728577,3,0.0,1525.0,1,0.6852314,-0.9894708,1.6448816
traditional_robust_template,65,27095,675722,12107,B8,1206.0,novel_early_pretrigger,288.43735,4.097581,1.079291,0.0031073163,0.028202139,0.6357077,3,0.0,1053.0,1,0.9344942,-1.5787728,1.6340001
traditional_robust_template,65,32448,681075,686,B8,1901.0,novel_early_pretrigger,252.64856,1.8569095,0.58020484,0.0067974096,0.0064120837,0.5246592,3,0.0,923.5,2,0.99684376,-0.48869017,1.760411
traditional_robust_template,65,27405,676032,12390,B8,1209.0,unassigned_common,226.52162,2.072359,0.79378724,0.00031459297,0.016565904,0.569084,4,0.0,828.0,1,0.67741936,-1.0181968,1.7268293
traditional_robust_template,65,27742,676369,12703,B8,2978.5,novel_early_pretrigger,212.93536,2.9931438,0.47085956,0.0068903505,0.024369419,0.4880885,3,0.08756556,779.5,2,0.84723854,-0.06093671,18.0
traditional_robust_template,65,20873,669500,6304,B8,1296.0,unassigned_common,140.25665,0.8184268,0.4963559,0.0006319052,0.008047748,0.5046506,4,0.0,514.0,2,0.86419755,-0.36728394,1.8323077
traditional_robust_template,65,15168,663795,969,B8,1487.5,unassigned_common,108.04233,0.54565585,0.4316884,0.0012597358,0.006257424,0.48066083,5,0.0,397.0,1,0.76201683,-0.20672269,1.9243937
