dataset,stratum,method,n,bias_median_frac,res68_abs_frac,full_rms_frac,high_bias_tail_fraction,within_10pct,within_25pct,bias_ci95,res68_ci95,full_rms_ci95,high_bias_tail_ci95
p04b_downstream,matched_normal_for_novel_early_pretrigger,shuffled_target_gbt,74,0.17655787852892493,0.4199640743805541,0.7856825432478284,0.5,0.24324324324324326,0.5,"[0.07490714152194118, 0.31720728691439015]","[0.2585487278071134, 0.5059259899817742]","[0.4419588291859503, 1.0872057535622328]","[0.4135444297082228, 0.5729166666666666]"
p04c_ab_charge,all_rows,traditional_strong,4055,-0.05038267699071203,0.5199568129385141,0.8474255842817043,0.6574599260172627,0.14130702836004932,0.34254007398273734,"[-0.06914079360047849, -0.021971053600521942]","[0.506358428579855, 0.5376437211658739]","[0.7472782125873882, 1.028171156933492]","[0.6369469224936015, 0.676299301022314]"
p04c_ab_charge,all_rows,ridge,4055,-0.04908992657174648,0.5250191640162957,0.8620959727891374,0.6604192355117139,0.13662145499383477,0.33958076448828606,"[-0.06685451454576777, -0.01724816528702865]","[0.5086584696319832, 0.539386742458176]","[0.7588239844774423, 1.0239907816014682]","[0.6423655308363841, 0.678419341242831]"
p04c_ab_charge,all_rows,gradient_boosted_trees,4055,-0.03572794922086294,0.5306612593429404,0.8657350316544378,0.6660912453760789,0.12996300863131935,0.3339087546239211,"[-0.06396012345332178, -0.01030588604103068]","[0.5167002830639024, 0.5494719733782073]","[0.7600621429898062, 1.0375224365145683]","[0.6477603342686692, 0.6847911650852099]"
p04c_ab_charge,all_rows,mlp,4055,-0.029261223409435957,0.6299489976542447,54340856542902.53,0.7294697903822441,0.11072749691738594,0.27053020961775587,"[-0.05386774254712109, 0.009369246129831033]","[0.6117997582267115, 0.6450265610851914]","[781.8592004565102, 105251719773178.27]","[0.7166342696634758, 0.7434942027398593]"
p04c_ab_charge,all_rows,cnn1d,4055,-0.022785760218801063,0.5207561347927654,0.8757088164859607,0.6542540073982738,0.14229346485819974,0.3457459926017263,"[-0.04506896134084488, 0.005218497883942536]","[0.5088950206919604, 0.5388377032852657]","[0.7640314391951242, 1.0148199736623675]","[0.6375856703201079, 0.6710529308941142]"
p04c_ab_charge,all_rows,residual_cnn_meta,4055,-0.029386457109206374,0.5198863067192269,0.8656468581421471,0.6567200986436498,0.1405672009864365,0.34327990135635017,"[-0.04833765167410106, 0.010418391985253116]","[0.5092753396248144, 0.5375332080942349]","[0.7676292398481692, 1.0231920865577404]","[0.6364589525986398, 0.6779406440216172]"
p04c_ab_charge,all_rows,shuffled_target_gbt,4055,-0.04631163189286083,0.5229746303409174,0.8579407674275625,0.6567200986436498,0.1376078914919852,0.34327990135635017,"[-0.0670880001588225, -0.010810118624810546]","[0.5113323070559437, 0.5446162513747265]","[0.7542047959822465, 0.9802226998326383]","[0.6387633001660826, 0.6772378128952705]"
p04c_ab_charge,normal_control_pool,traditional_strong,3819,-0.047988771250904484,0.52126334923096,0.8599574146069126,0.6569782665619273,0.1406127258444619,0.3430217334380728,"[-0.06525006113792203, -0.023787382380637243]","[0.5094221808040826, 0.5374788434809736]","[0.7592468332413853, 0.9995547930802078]","[0.6384015929758211, 0.6762559275216405]"
p04c_ab_charge,normal_control_pool,ridge,3819,-0.0518551956966904,0.5258125917984418,0.8732947665998055,0.6606441476826395,0.1358994501178319,0.33935585231736054,"[-0.07189917149368594, -0.017388744660560552]","[0.5091383915385779, 0.5397285022335468]","[0.7551899998432215, 1.0271696537757977]","[0.6424498124130233, 0.676041722671353]"
p04c_ab_charge,normal_control_pool,gradient_boosted_trees,3819,-0.03572794922086294,0.5329862768639652,0.880596720592166,0.6677140612725845,0.12882953652788687,0.3322859387274156,"[-0.056321550991599446, 0.00285015150386598]","[0.5185618980985572, 0.5542854170057349]","[0.7573837811171825, 1.0640779163498058]","[0.6501163354986234, 0.6887341682728079]"
p04c_ab_charge,normal_control_pool,mlp,3819,-0.030366562201723703,0.6213639976334961,55994720314663.125,0.7266300078554595,0.11128567687876408,0.27336999214454044,"[-0.05387760907959567, 0.0011211481724560258]","[0.6082143358456198, 0.6404045994436853]","[487.650361730506, 99294746608440.89]","[0.7140639063055432, 0.7419093260808022]"
p04c_ab_charge,normal_control_pool,cnn1d,3819,-0.023152720433552567,0.5223656739997877,0.8890668089111426,0.6538360827441738,0.1434930610107358,0.3461639172558261,"[-0.04423542818258838, 0.007143038983696303]","[0.508162809884124, 0.5378396575525988]","[0.7657931285713523, 1.0418671055781523]","[0.6334208477582608, 0.6724922473014795]"
p04c_ab_charge,normal_control_pool,residual_cnn_meta,3819,-0.029758317332866966,0.5204795754899885,0.8781702755544664,0.6575019638648861,0.13982717989002358,0.3424980361351139,"[-0.04962564213360864, 0.004813780607972944]","[0.5094997049929681, 0.5344884859888218]","[0.7723532063681411, 1.0298675887085333]","[0.6363247483389258, 0.6777528256692199]"
