n_bins,run_shrink_strength,deployment_population_weight,fold,sigma68_ns,n_pair_residuals,heldout_run
12,80.0,1.0,-1,1.2408961381275796,0,58
12,80.0,4.0,0,1.4057911112140864,2997,58
12,80.0,4.0,1,1.045400278345842,3534,58
12,80.0,4.0,2,1.1105127935207009,4710,58
12,80.0,4.0,-1,1.187234727693543,0,58
12,80.0,16.0,0,1.324873451716715,2997,58
12,80.0,16.0,1,1.0615463121653756,3534,58
12,80.0,16.0,2,1.0733366196504965,4710,58
12,80.0,16.0,-1,1.1532521278441956,0,58
12,320.0,0.0,0,1.2082504874624056,2997,58
12,320.0,0.0,1,1.2353124707088148,3534,58
12,320.0,0.0,2,1.3168013301508832,4710,58
12,320.0,0.0,-1,1.2534547627740347,0,58
12,320.0,1.0,0,1.181421723168396,2997,58
12,320.0,1.0,1,1.2504401911585694,3534,58
12,320.0,1.0,2,1.376896427096705,4710,58
12,320.0,1.0,-1,1.2695861138078903,0,58
12,320.0,4.0,0,1.1381095878014689,2997,58
12,320.0,4.0,1,1.2814854571937258,3534,58
12,320.0,4.0,2,1.46853464653656,4710,58
12,320.0,4.0,-1,1.296043230510585,0,58
12,320.0,16.0,0,1.1510061694004763,2997,58
12,320.0,16.0,1,1.350099920493558,3534,58
12,320.0,16.0,2,1.5591301167623097,4710,58
12,320.0,16.0,-1,1.353412068885448,0,58
12,1280.0,0.0,0,1.853682847197355,2997,58
12,1280.0,0.0,1,2.149031878170035,3534,58
12,1280.0,0.0,2,2.476617911114362,4710,58
12,1280.0,0.0,-1,2.159777545493917,0,58
12,1280.0,1.0,0,1.8829796034040192,2997,58
12,1280.0,1.0,1,2.173800310160452,3534,58
12,1280.0,1.0,2,2.497827940097624,4710,58
12,1280.0,1.0,-1,2.1848692845540314,0,58
12,1280.0,4.0,0,1.9243254399857586,2997,58
12,1280.0,4.0,1,2.2115380322447,3534,58
12,1280.0,4.0,2,2.5296519333222163,4710,58
12,1280.0,4.0,-1,2.221838468517558,0,58
12,1280.0,16.0,0,1.9680011610132309,2997,58
12,1280.0,16.0,1,2.2494463044357436,3534,58
12,1280.0,16.0,2,2.5614767829382346,4710,58
12,1280.0,16.0,-1,2.2596414161290697,0,58
6,20.0,0.0,0,1.9883114467210523,2799,59
6,20.0,0.0,1,1.28402121933968,2841,59
6,20.0,0.0,2,1.263682863919984,3531,59
6,20.0,0.0,-1,1.5120051766602387,0,59
6,20.0,1.0,0,1.967437832568671,2799,59
6,20.0,1.0,1,1.2388453568948286,2841,59
6,20.0,1.0,2,1.292549716956281,3531,59
6,20.0,1.0,-1,1.4996109688065935,0,59
6,20.0,4.0,0,1.932731537586557,2799,59
6,20.0,4.0,1,1.1793483927145225,2841,59
6,20.0,4.0,2,1.3134285932370369,3531,59
6,20.0,4.0,-1,1.475169507846039,0,59
6,20.0,16.0,0,1.8933120143106252,2799,59
6,20.0,16.0,1,1.1264222684166483,2841,59
