method,delay_samples,scale_bin,n,n_injected,roc_auc,average_precision,fixed_95_clean_rejection,real_minus_shuffled_auc,frontier_pass,fit_delay_bias_samples,fit_delay_rms_samples,fit_failure_rate
shape-only RF,2,low,82,41,0.7204045211183819,0.7273254641341254,0.36585365853658536,0.22486615110053543,False,2.230769230769231,2.8419928002940256,0.36585365853658536
shape-only RF,2,mid,76,38,0.8649584487534626,0.8644179233895621,0.39473684210526316,0.40166204986149584,False,1.3125,2.091650066335189,0.1578947368421053
shape-only RF,3,high,92,46,0.9664461247637051,0.9464292833439221,0.9130434782608695,0.5042533081285444,True,0.3157894736842105,1.3377121081198773,0.17391304347826086
shape-only RF,3,low,94,47,0.7718424626527841,0.7408690913186833,0.14893617021276595,0.27342688999547304,False,1.3142857142857143,2.138089935299395,0.25531914893617025
shape-only RF,3,mid,90,45,0.9244444444444445,0.9388954061646292,0.7111111111111111,0.4079012345679013,False,0.8571428571428571,1.6903085094570331,0.2222222222222222
shape-only RF,4,high,74,37,0.931336742147553,0.9429324831414361,0.7567567567567568,0.514609203798393,False,0.3333333333333333,1.1902380714238083,0.3513513513513513
shape-only RF,4,low,68,34,0.7880622837370242,0.8159185256832019,0.38235294117647056,0.2569204152249135,False,-0.10714285714285714,1.3228756555322954,0.17647058823529416
shape-only RF,4,mid,66,33,0.8379247015610651,0.8606001461116,0.5454545454545454,0.3668503213957759,False,0.17391304347826086,1.285369173834303,0.303030303030303
shape-only RF,5,high,82,41,0.8310529446757882,0.8489166646502317,0.43902439024390244,0.3610945865556216,False,0.03225806451612903,0.7405316311773545,0.24390243902439024
shape-only RF,5,low,78,39,0.7034845496383958,0.7476877289165282,0.3076923076923077,0.15187376725838264,False,-0.4583333333333333,1.5138251770487459,0.3846153846153846
shape-only RF,5,mid,72,36,0.7939814814814814,0.8207268317335946,0.4722222222222222,0.31944444444444436,False,-0.3548387096774194,1.2572371141874243,0.13888888888888884
shape-only RF,6,high,88,44,0.8233471074380165,0.8239073630972429,0.4318181818181818,0.4431818181818182,False,-0.95,1.70293863659264,0.09090909090909094
shape-only RF,6,low,74,37,0.6983199415631849,0.672748301266566,0.13513513513513514,0.22863403944485028,False,-0.3181818181818182,0.9293203772845852,0.4054054054054054
shape-only RF,6,mid,62,31,0.7455775234131113,0.6902091489072172,0.12903225806451613,0.25390218522372526,False,-0.8333333333333334,1.509230856356236,0.4193548387096774
