cell,negative_rows,positive_rows,matched_pairs
31|0|1|0|0|0|2|2|3|2|0,2,0,0
31|0|1|0|0|0|2|2|3|2|1,2,0,0
31|0|1|0|0|0|2|2|3|2|2,1,0,0
31|0|1|0|0|0|2|2|3|2|5,14,0,0
31|0|1|0|0|0|2|2|3|3|1,19,0,0
31|0|1|0|0|0|2|2|3|3|2,21,0,0
31|0|1|0|0|0|2|2|3|3|3,23,0,0
31|0|1|0|0|0|2|2|3|3|4,27,0,0
31|0|1|0|0|0|2|2|3|3|5,9,0,0
31|0|1|0|0|0|2|2|3|4|1,69,0,0
31|0|1|0|0|0|2|2|3|4|2,31,0,0
31|0|1|0|0|0|2|2|4|0|5,1,0,0
31|0|1|0|0|0|2|2|4|2|0,1,0,0
31|0|1|0|0|0|2|2|4|2|5,20,0,0
31|0|1|0|0|0|2|2|4|3|0,1,0,0
31|0|1|0|0|0|2|2|4|3|1,29,0,0
31|0|1|0|0|0|2|2|4|3|2,35,0,0
31|0|1|0|0|0|2|2|4|3|3,23,0,0
31|0|1|0|0|0|2|2|4|3|4,22,0,0
31|0|1|0|0|0|2|2|4|3|5,13,0,0
31|0|1|0|0|0|2|2|4|4|1,87,0,0
31|0|1|0|0|0|2|2|4|4|2,35,0,0
31|0|1|0|0|0|2|2|5|0|0,2,0,0
31|0|1|0|0|0|2|2|5|1|1,1,0,0
31|0|1|0|0|0|2|2|5|1|5,1,0,0
31|0|1|0|0|0|2|2|5|2|0,3,0,0
31|0|1|0|0|0|2|2|5|2|1,2,0,0
31|0|1|0|0|0|2|2|5|2|2,1,0,0
31|0|1|0|0|0|2|2|5|2|5,18,0,0
31|0|1|0|0|0|2|2|5|3|0,1,0,0
31|0|1|0|0|0|2|2|5|3|1,20,0,0
31|0|1|0|0|0|2|2|5|3|2,32,0,0
31|0|1|0|0|0|2|2|5|3|3,16,0,0
31|0|1|0|0|0|2|2|5|3|4,29,0,0
31|0|1|0|0|0|2|2|5|3|5,11,0,0
