window_mask,method,heldout_run,pileup_ap,pileup_auc,pid_auc,pid_efficiency,pid_purity,pid_balanced_accuracy,time_bias_ns,time_sigma68_ns,late_tail_rate_abs_gt_15ns,pileup_miss_rate,false_split_rate,energy_fractional_bias,energy_fractional_sigma68,n_events,n_positive
peak_charge_samples_8_11,1d_cnn,65,0.5025027274048592,0.5378071833648392,0.4688090737240075,0.0,0.0,0.5,2.8279054604930476,16.594356490438194,0.359375,0.30434782608695654,0.6086956521739131,-0.017811404992326984,0.2122992501669316,92,46
peak_charge_samples_8_11,compact_sequence_residual,58,0.6852764931791228,0.6871455576559546,0.888401559454191,0.9473684210526315,0.72,0.8440545808966862,-4.955785376525217,10.69102626254034,0.2,0.45652173913043476,0.32608695652173914,-0.052301464989428045,0.12331453453868857,92,46
peak_charge_samples_8_11,compact_sequence_residual,60,0.7185435934106785,0.6814744801512287,0.8070921985815603,0.8444444444444444,0.7169811320754716,0.7626477541371158,-3.5061472955404493,12.31263448767513,0.203125,0.30434782608695654,0.41304347826086957,-0.024375576805955007,0.11975429598071903,92,46
peak_charge_samples_8_11,compact_sequence_residual,62,0.6746426678719748,0.6242911153119093,0.8957142857142857,0.9523809523809523,0.7843137254901961,0.8661904761904762,-0.7882328630850477,13.970819004599502,0.26,0.45652173913043476,0.32608695652173914,-0.10196808668583651,0.07818769785064711,92,46
peak_charge_samples_8_11,compact_sequence_residual,64,0.697642802485945,0.6753308128544424,0.8865685809207404,0.9183673469387755,0.8333333333333334,0.8545325106786901,-2.8173511877464774,9.921981166700355,0.1875,0.30434782608695654,0.43478260869565216,-0.035829421271000146,0.08710877578586787,92,46
peak_charge_samples_8_11,compact_sequence_residual,65,0.694703358405834,0.6852551984877127,0.9508506616257089,0.9130434782608695,0.8571428571428571,0.8804347826086956,-3.538359881422739,11.210135727884882,0.171875,0.30434782608695654,0.43478260869565216,-0.06741079775671086,0.13668219084309363,92,46
peak_charge_samples_8_11,gradient_boosted_trees,58,0.715044806095027,0.7244801512287335,0.8635477582846004,0.9210526315789473,0.7,0.8216374269005848,-1.3894622321815442,10.193806189007866,0.21428571428571427,0.391304347826087,0.34782608695652173,-0.027045170027399548,0.07176615371558182,92,46
peak_charge_samples_8_11,gradient_boosted_trees,60,0.6888934817483868,0.69234404536862,0.8463356973995273,0.9111111111111111,0.7454545454545455,0.8066193853427897,-1.972837442168034,10.42836077564662,0.16666666666666666,0.41304347826086957,0.3695652173913043,-0.037044555998388434,0.05605606983566289,92,46
peak_charge_samples_8_11,gradient_boosted_trees,62,0.6802070442374418,0.6294896030245747,0.9280952380952381,0.9285714285714286,0.78,0.8542857142857143,-2.354150934592436,11.669247292937683,0.17307692307692307,0.43478260869565216,0.4782608695652174,-0.05873586328563681,0.048627525273193806,92,46
peak_charge_samples_8_11,gradient_boosted_trees,64,0.6961789383736608,0.6318525519848772,0.8908400569530137,0.9183673469387755,0.8653846153846154,0.8777883246321785,-0.9515168312770506,11.089020667079847,0.24074074074074073,0.41304347826086957,0.3695652173913043,-0.04547523677226586,0.03635179030995908,92,46
peak_charge_samples_8_11,gradient_boosted_trees,65,0.6566960151335526,0.687618147448015,0.9494328922495274,0.9565217391304348,0.88,0.9130434782608696,-2.315841065141502,11.01933618449973,0.25862068965517243,0.3695652173913043,0.391304347826087,-0.026959052670910578,0.06548748802115958,92,46
peak_charge_samples_8_11,mlp,58,0.6806840861499296,0.6535916824196597,0.7178362573099415,0.6578947368421053,0.6410256410256411,0.699317738791423,-0.02968046599763241,12.247981498378474,0.1875,0.6521739130434783,0.13043478260869565,-0.045912397858031494,0.15439552501407663,92,46
peak_charge_samples_8_11,mlp,60,0.5441429808345353,0.5354442344045369,0.6959810874704491,0.6444444444444445,0.6170212765957447,0.6307328605200946,-3.9747412097123824,16.98846415451861,0.3076923076923077,0.717391304347826,0.2391304347826087,-0.10569430930277121,0.11532285488267408,92,46
peak_charge_samples_8_11,mlp,62,0.5504325032168529,0.5033081285444234,0.74,0.7380952380952381,0.6888888888888889,0.729047619047619,-7.785156650586287,5.980106851863304,0.125,0.8260869565217391,0.2608695652173913,-0.01119695170572935,0.09846277548669985,92,46
peak_charge_samples_8_11,mlp,64,0.6966547474610137,0.6847826086956522,0.6426198386331277,0.5306122448979592,0.6842105263157895,0.6257712387280494,-1.2306781205127937,12.624866557379608,0.3076923076923077,0.717391304347826,0.08695652173913043,-0.07556350683137794,0.19802699083651187,92,46
peak_charge_samples_8_11,mlp,65,0.47738847232432113,0.49621928166351603,0.7589792060491494,0.7608695652173914,0.7142857142857143,0.7282608695652174,-6.885823236273989,9.703282970660215,0.16666666666666666,0.8043478260869565,0.32608695652173914,-0.019610403093181617,0.06319405655912672,92,46
peak_charge_samples_8_11,ridge,58,0.7206976672322234,0.7103024574669187,0.7685185185185185,0.5263157894736842,0.6060606060606061,0.6427875243664718,-0.0620952268849706,11.806028780570717,0.2413793103448276,0.3695652173913043,0.34782608695652173,-0.027592803134041936,0.08244982347464411,92,46
peak_charge_samples_8_11,ridge,60,0.6698141426851167,0.69234404536862,0.764066193853428,0.6888888888888889,0.7209302325581395,0.7167848699763593,-7.397841194607482,12.460825824710568,0.29310344827586204,0.3695652173913043,0.391304347826087,-0.04693003494541164,0.06806498474865055,92,46
peak_charge_samples_8_11,ridge,62,0.5494893401368953,0.5888468809073724,0.8104761904761906,0.7380952380952381,0.7209302325581395,0.7490476190476191,-0.6195020118626493,10.111755123604041,0.15384615384615385,0.43478260869565216,0.45652173913043476,-0.03585048626159023,0.05692271603401579,92,46
