method,subtype,metric,ci_low,ci_high,n_boot_valid
traditional_train_frozen_cuts,pretrigger_slope,dropout_harm_rate_high_minus_low,-0.18477986950609432,-0.10778443113772451,73
traditional_train_frozen_cuts,pretrigger_slope,prevalence_within_method_current_rows_high_minus_low,0.8603267605633803,1.0,100
traditional_train_frozen_cuts,pretrigger_slope,secondary_fraction_mean_high_minus_low,0.008893515542149543,0.02117290496826172,73
traditional_train_frozen_cuts,pretrigger_slope,timing_tail_gt5_rate_high_minus_low,-0.23988907396250483,-0.13338603425559947,73
traditional_train_frozen_cuts,rising_edge_distortion,charge_bias_abs_mean_high_minus_low,0.01559346318244934,0.07007595896720888,73
traditional_train_frozen_cuts,rising_edge_distortion,charge_bias_abs_res68_high_minus_low,0.05770946121215821,0.10695084762573255,73
traditional_train_frozen_cuts,rising_edge_distortion,downstream_topology_rate_high_minus_low,0.017396825396825397,0.05095929078639792,73
traditional_train_frozen_cuts,rising_edge_distortion,dropout_harm_rate_high_minus_low,-0.09643111369960525,-0.02784755923494146,73
traditional_train_frozen_cuts,rising_edge_distortion,prevalence_within_method_current_rows_high_minus_low,0.9003952569169961,1.0,100
traditional_train_frozen_cuts,rising_edge_distortion,secondary_fraction_mean_high_minus_low,-0.03412566781044006,-0.017714586853981015,73
traditional_train_frozen_cuts,rising_edge_distortion,timing_tail_gt5_rate_high_minus_low,-0.116651104886399,-0.052930549979927764,73
traditional_train_frozen_cuts,tail_recovery_dropout,charge_bias_abs_mean_high_minus_low,0.06028239727020264,0.13793851137161256,73
traditional_train_frozen_cuts,tail_recovery_dropout,charge_bias_abs_res68_high_minus_low,0.08525571823120118,0.12915725708007814,73
traditional_train_frozen_cuts,tail_recovery_dropout,downstream_topology_rate_high_minus_low,0.0,0.13891625615763548,73
traditional_train_frozen_cuts,tail_recovery_dropout,dropout_harm_rate_high_minus_low,0.09754385964912281,0.21127819548872181,73
traditional_train_frozen_cuts,tail_recovery_dropout,prevalence_within_method_current_rows_high_minus_low,0.7189655172413792,1.0,100
traditional_train_frozen_cuts,tail_recovery_dropout,secondary_fraction_mean_high_minus_low,0.005248670279979706,0.027933411300182346,73
traditional_train_frozen_cuts,tail_recovery_dropout,timing_tail_gt5_rate_high_minus_low,-0.09090909090909094,0.0,73
