run,window,method,n,res68_abs_frac,bias_median_frac,frac_within10
59,w4_6,traditional_template,2271,0.9495381399579861,0.12840263521903905,0.154557463672391
59,w4_6,gbr_masked,2271,0.10024663558913426,0.022383916194732713,0.6794363716424483
59,w4_6,mlp_masked,2271,0.1214400054322915,-0.0176342679063081,0.5966534566270365
59,w5_7,observed_ceiling,2271,0.2653404860003861,-0.2030284917314206,0.1800968736239542
59,w5_7,traditional_template,2271,0.34402571313348423,-0.10092155540570914,0.1831792162043153
59,w5_7,gbr_masked,2271,0.11224658021548864,0.032169143402720965,0.6243945398502863
59,w5_7,mlp_masked,2271,0.12334795471642647,0.023562177940262125,0.5781594011448701
59,w3_7,observed_ceiling,2271,0.2653404860003861,-0.2030284917314206,0.1800968736239542
59,w3_7,traditional_template,2271,0.865865560700799,0.07858429271223008,0.178335535006605
59,w3_7,gbr_masked,2271,0.09748152173042532,0.02524836998208206,0.6935270805812418
59,w3_7,mlp_masked,2271,0.11069821669099629,0.02452308108061788,0.6406869220607662
59,w2_8,observed_ceiling,2271,0.2653404860003861,-0.2030284917314206,0.1800968736239542
59,w2_8,traditional_template,2271,0.2888488146730975,-0.06739900806292629,0.32056362835755176
59,w2_8,gbr_masked,2271,0.08429702338136849,0.024333672934937302,0.7591369440774989
59,w2_8,mlp_masked,2271,0.10596010214209983,-0.0026230416723975886,0.6538969616908851
60,s3,observed_ceiling,1805,0.25429895470125313,-0.19126566922765872,0.18947368421052632
60,s3,traditional_template,1805,9.476309296480498,0.15309375770002684,0.0925207756232687
60,s3,gbr_masked,1805,0.14902336223408078,0.0424325549518805,0.4371191135734072
60,s3,mlp_masked,1805,0.15182060846363116,0.044086163796251625,0.43822714681440444
60,s4,observed_ceiling,1805,0.25429895470125313,-0.19126566922765872,0.18947368421052632
60,s4,traditional_template,1805,0.7047877430291098,-0.10152740341419586,0.13130193905817175
60,s4,gbr_masked,1805,0.14794758053744866,0.04014422540185944,0.4598337950138504
60,s4,mlp_masked,1805,0.1413939367997538,0.02622973786717294,0.48365650969529084
60,s5,observed_ceiling,1805,0.25429895470125313,-0.19126566922765872,0.18947368421052632
60,s5,traditional_template,1805,0.31679496571752724,-0.13560237709346298,0.1667590027700831
60,s5,gbr_masked,1805,0.14623058123766794,0.037832531227469636,0.4714681440443213
60,s5,mlp_masked,1805,0.14830406213666353,0.04391876260943752,0.4808864265927978
60,s6,observed_ceiling,1805,0.25429895470125313,-0.19126566922765872,0.18947368421052632
60,s6,traditional_template,1805,0.24752620896286517,-0.18233851185609157,0.23822714681440443
60,s6,gbr_masked,1805,0.1302985263479064,0.01803473222822038,0.5235457063711911
60,s6,mlp_masked,1805,0.13081060584205909,0.021647864146888768,0.5207756232686981
60,s7,observed_ceiling,1805,0.25429895470125313,-0.19126566922765872,0.18947368421052632
60,s7,traditional_template,1805,0.2542794825952623,-0.19126566922765872,0.18947368421052632
60,s7,gbr_masked,1805,0.14151667051897937,0.028826200006059236,0.4781163434903047
60,s7,mlp_masked,1805,0.14221213649479494,0.018047800178741826,0.49418282548476455
60,w2_4,observed_ceiling,1805,0.25429895470125313,-0.19126566922765872,0.18947368421052632
60,w2_4,traditional_template,1805,2.4680635978948384,-0.07300115874855156,0.12409972299168975
60,w2_4,gbr_masked,1805,0.14734226429308603,0.05320009478280999,0.46703601108033244
60,w2_4,mlp_masked,1805,0.14914752992424513,0.051320890634489316,0.4709141274238227
60,w3_5,observed_ceiling,1805,0.25429895470125313,-0.19126566922765872,0.18947368421052632
60,w3_5,traditional_template,1805,0.9770631296817363,-0.04897765097479791,0.14792243767313018
60,w3_5,gbr_masked,1805,0.1189548502320251,0.044488642367615225,0.5944598337950139
60,w3_5,mlp_masked,1805,0.11971040765545223,0.02192120595136025,0.6060941828254848
60,w4_6,observed_ceiling,1805,0.25429895470125313,-0.19126566922765872,0.18947368421052632
60,w4_6,traditional_template,1805,0.3812190035626026,-0.057492931196983975,0.2
60,w4_6,gbr_masked,1805,0.10237056461879947,0.048726992164654086,0.6681440443213297
60,w4_6,mlp_masked,1805,0.12795212917798976,0.05451944793087716,0.554016620498615
60,w5_7,observed_ceiling,1805,0.25429895470125313,-0.19126566922765872,0.18947368421052632
60,w5_7,traditional_template,1805,0.2979353448385685,-0.13260327442263906,0.21828254847645429
60,w5_7,gbr_masked,1805,0.10801115813540416,0.03888774041954059,0.6465373961218837
60,w5_7,mlp_masked,1805,0.12205246802204775,0.019142155655339426,0.5872576177285319
60,w3_7,observed_ceiling,1805,0.25429895470125313,-0.19126566922765872,0.18947368421052632
60,w3_7,traditional_template,1805,0.3459093159861545,-0.07971931439088922,0.21828254847645429
60,w3_7,gbr_masked,1805,0.09789761589988295,0.04829984136796119,0.6930747922437673
60,w3_7,mlp_masked,1805,0.10108284390834797,0.02310080150405349,0.6775623268698061
60,w2_8,observed_ceiling,1805,0.25429895470125313,-0.19126566922765872,0.18947368421052632
60,w2_8,traditional_template,1805,0.24357034795763993,-0.11602209944751381,0.32742382271468146
60,w2_8,gbr_masked,1805,0.08427174389306673,0.03451362123031225,0.7734072022160665
