accepted_n,accepted_fraction,bias_median_frac,model_energy_proxy_res68,p04b_charge_propagated_energy_res68,combined_energy_proxy_res68,depth_order_violation_rate,geometry,method,uncertainty_threshold,accepted_fraction_ci95,bias_median_frac_ci95,model_energy_proxy_res68_ci95,p04b_charge_propagated_energy_res68_ci95,combined_energy_proxy_res68_ci95,depth_order_violation_rate_ci95,clears_10pct_point,clears_10pct_ci95_high
332852,1.0,-0.011320572456176486,0.019103582006076602,0.22861724938524608,0.2294140221563161,0.0,center_2cm,traditional_depth_charge_lookup,1.0,"[1.0, 1.0]","[-0.01404400040701254, -0.008198773070929172]","[0.017964984592825004, 0.019916096039390003]","[0.2113204714993584, 0.23435726990369352]","[0.2122486030773979, 0.23505577998094926]","[0.0, 0.0]",False,False
90579,0.2721299556559672,0.011964784328376284,0.03301976142023171,0.037335753785670465,0.04984238311912091,0.0,center_2cm,ml_monotonic_hgb,0.05,"[0.18038400082358527, 0.3614409068863627]","[0.010683506860398626, 0.013479216839434096]","[0.02865879736764185, 0.038619518858296946]","[0.03464473951339154, 0.03829467352845363]","[0.047475385975313235, 0.05272370036031303]","[0.0, 0.0]",True,True
120987,0.36348587360148055,0.00916903324954032,0.030200105489065987,0.04450008674652528,0.05378014589045839,0.0,center_2cm,ml_monotonic_hgb,0.075,"[0.2705973211726127, 0.4529120628023644]","[0.008155424790045851, 0.010000794072452628]","[0.026154868054716625, 0.035402003779446974]","[0.04337704291949775, 0.045228695745821376]","[0.051625539143613494, 0.055989907833037145]","[0.0, 0.0]",True,True
136871,0.41120678259406584,0.007905352963811675,0.02884813640556247,0.051399365491816694,0.0589415791019828,0.0,center_2cm,ml_monotonic_hgb,0.1,"[0.3057125930875224, 0.5549770308002406]","[0.006688988984652424, 0.0088699981803659]","[0.02489001344356727, 0.033410376522862106]","[0.04972693350277056, 0.052329492535780696]","[0.05736054064259967, 0.06013584766871657]","[0.0, 0.0]",True,True
145257,0.436401163279776,0.007366858479519247,0.028589067143378957,0.053613576871106246,0.06075977604503368,0.0,center_2cm,ml_monotonic_hgb,0.125,"[0.30746532416852856, 0.580691535067307]","[0.006136073298989192, 0.008463776228959486]","[0.024991464549673874, 0.03358692771843067]","[0.05232909913575409, 0.05628161756735905]","[0.05909797748421336, 0.06245362578154255]","[0.0, 0.0]",True,True
177482,0.533215963851802,0.005496330401546728,0.026934172154608364,0.07418600733459715,0.07892409843579452,0.0,center_2cm,ml_monotonic_hgb,0.15,"[0.4384614009669348, 0.6797305134835023]","[0.004358690328446663, 0.006714868044163119]","[0.023929596391011474, 0.03099231100076035]","[0.0633450016810566, 0.09849424319608696]","[0.06933831971166056, 0.1012434435996035]","[0.0, 0.0]",True,False
293238,0.8809861439919243,-0.00215521586910798,0.02467131619027308,0.16156450495373373,0.163437336932249,0.0,center_2cm,ml_monotonic_hgb,0.2,"[0.8481946426564312, 0.9139151091362561]","[-0.005789097922222504, 0.002252058424717183]","[0.02238132818482385, 0.027449826194370048]","[0.1396683547644096, 0.1710993638741417]","[0.14231832070421707, 0.17280018408110207]","[0.0, 0.0]",False,False
329113,0.988766779229207,-0.0030379159316685778,0.023509658273135437,0.17114831326315094,0.17275546059369948,0.0,center_2cm,ml_monotonic_hgb,0.25,"[0.9859144161278522, 0.9916846693264041]","[-0.006012653001808169, 0.0012374679596137861]","[0.021387150334692892, 0.026385982493646525]","[0.15444558885511359, 0.1799875893069696]","[0.1564190380629745, 0.18142925245026972]","[0.0, 0.0]",False,False
332521,0.9990055640344657,-0.003187627268136767,0.023919131750100735,0.17231076588444,0.17396299866167222,0.0,center_2cm,ml_monotonic_hgb,0.3,"[0.998903280359861, 0.9991228548201814]","[-0.006428767340550003, 0.0007310065974106592]","[0.021756725546064743, 0.026721989563981387]","[0.15405345783797575, 0.18000249076300798]","[0.1559897383025223, 0.1816681539180659]","[0.0, 0.0]",False,False
332852,1.0,-0.003180885431168734,0.02393084387928593,0.17231076588444,0.17396460941368808,0.0,center_2cm,ml_monotonic_hgb,0.4,"[1.0, 1.0]","[-0.005790369195638561, 0.0009360066016198975]","[0.021573933154419588, 0.026924552790589258]","[0.1531925094232754, 0.1799955002887392]","[0.15495948533024076, 0.1813843556538842]","[0.0, 0.0]",False,False
