alpha_global,alpha_dev,fold,sigma68_ns,n_pair_residuals,heldout_run
1.0,100.0,0,2.1196002700339527,2799,59
1.0,100.0,1,1.3496860216724338,2841,59
1.0,100.0,2,1.5014299018336454,3531,59
1.0,100.0,-1,1.6569053978466772,0,59
1.0,1000.0,0,2.1363396055527772,2799,59
1.0,1000.0,1,1.3485673004293233,2841,59
1.0,1000.0,2,1.4639679243051544,3531,59
1.0,1000.0,-1,1.649624943429085,0,59
1.0,10000.0,0,2.1496715006414195,2799,59
1.0,10000.0,1,1.3310970669553923,2841,59
1.0,10000.0,2,1.436228394784662,3531,59
1.0,10000.0,-1,1.638998987460491,0,59
10.0,1.0,0,1.4447288005173866,2799,59
10.0,1.0,1,2.0218068684199246,2841,59
10.0,1.0,2,2.0348473637667914,3531,59
10.0,1.0,-1,1.8337943442347011,0,59
10.0,10.0,0,1.5296316200847162,2799,59
10.0,10.0,1,0.9364889785837327,2841,59
10.0,10.0,2,1.1501061024319774,3531,59
10.0,10.0,-1,1.205408900366809,0,59
10.0,100.0,0,2.043192850788517,2799,59
10.0,100.0,1,1.2850310661517212,2841,59
10.0,100.0,2,1.449809317049292,3531,59
10.0,100.0,-1,1.5926777446631766,0,59
10.0,1000.0,0,2.123540941811301,2799,59
10.0,1000.0,1,1.3526011168716778,2841,59
10.0,1000.0,2,1.4552460839040782,3531,59
10.0,1000.0,-1,1.643796047529019,0,59
10.0,10000.0,0,2.14842731715837,2799,59
10.0,10000.0,1,1.3347576045054694,2841,59
10.0,10000.0,2,1.4304495610847456,3531,59
10.0,10000.0,-1,1.637878160916195,0,59
100.0,1.0,0,2.438236403778968,2799,59
100.0,1.0,1,2.7652021375372056,2841,59
100.0,1.0,2,2.862556086325792,3531,59
100.0,1.0,-1,2.688664875880655,0,59
100.0,10.0,0,1.4609071752197944,2799,59
100.0,10.0,1,2.0207603740048596,2841,59
100.0,10.0,2,2.044791267957062,3531,59
100.0,10.0,-1,1.842152939060572,0,59
100.0,100.0,0,1.4718690483313037,2799,59
100.0,100.0,1,0.9347209413548411,2841,59
100.0,100.0,2,1.0747638542079478,3531,59
100.0,100.0,-1,1.160451281298031,0,59
100.0,1000.0,0,2.0097667963100228,2799,59
