sample,pair,stage,amp_bin,run,n,sigma68_ns
sample_I,B4-B6,timewalk_corrected,5,51,23,1.3443787458836955
sample_I,B4-B6,timewalk_corrected,5,53,45,0.9260013856373592
sample_I,B4-B6,timewalk_corrected,5,54,55,1.1543628382017612
sample_I,B4-B6,timewalk_corrected,5,55,28,1.085879922209914
sample_I,B4-B6,timewalk_corrected,5,56,78,1.1423734719271135
sample_I,B4-B6,timewalk_corrected,5,57,50,1.1440675535331377
sample_I,B4-B8,raw_cfd20,3,45,28,1.148288937460182
sample_I,B4-B8,raw_cfd20,3,56,23,1.9200181301544506
sample_I,B4-B8,raw_cfd20,4,45,22,1.7994729413273363
sample_I,B4-B8,raw_cfd20,4,53,22,1.2506824398210976
sample_I,B4-B8,raw_cfd20,4,55,21,0.8837177241191894
sample_I,B4-B8,raw_cfd20,4,56,31,1.7369875778343378
sample_I,B4-B8,raw_cfd20,4,57,30,1.8251750658300905
sample_I,B4-B8,timewalk_corrected,3,45,28,1.2568503754438018
sample_I,B4-B8,timewalk_corrected,3,56,23,1.9521994057825927
sample_I,B4-B8,timewalk_corrected,4,45,22,1.6761353563723667
sample_I,B4-B8,timewalk_corrected,4,53,22,0.8415930269438587
sample_I,B4-B8,timewalk_corrected,4,55,21,0.9166329821215854
sample_I,B4-B8,timewalk_corrected,4,56,31,1.289067753797088
sample_I,B4-B8,timewalk_corrected,4,57,30,1.3851886530672761
sample_I,B6-B8,raw_cfd20,3,45,22,0.9841295509158206
sample_I,B6-B8,raw_cfd20,3,49,21,1.2645840198050522
sample_I,B6-B8,raw_cfd20,3,56,21,1.6431827810219453
sample_I,B6-B8,raw_cfd20,4,45,29,1.5095138694950156
sample_I,B6-B8,raw_cfd20,4,53,20,1.3689969305436285
sample_I,B6-B8,raw_cfd20,4,54,22,0.8652319625531933
sample_I,B6-B8,raw_cfd20,4,56,29,1.1718151645154795
sample_I,B6-B8,raw_cfd20,4,57,24,1.8189957175275495
sample_I,B6-B8,timewalk_corrected,3,45,22,0.8118923477505521
sample_I,B6-B8,timewalk_corrected,3,49,21,0.7679319691897222
sample_I,B6-B8,timewalk_corrected,3,56,21,1.2189943068120064
sample_I,B6-B8,timewalk_corrected,4,45,29,1.2015438613029106
sample_I,B6-B8,timewalk_corrected,4,53,20,0.9916272051343917
sample_I,B6-B8,timewalk_corrected,4,54,22,0.7394017591657809
sample_I,B6-B8,timewalk_corrected,4,56,29,1.0720088094311133
sample_I,B6-B8,timewalk_corrected,4,57,24,1.2850289395974548
