sample,pair,has_b2,stage,amp_bin,amp_lo,amp_hi,n,amp_median,sigma68_ns,ci_low_ns,ci_high_ns,run_spread_std_ns,n_runs_used,sigma68_per_stave_sqrt2_ns
sample_I,B2-B4,True,timewalk_corrected,5,2800.0,3400.0,1537,3082.0,34.655544751111314,30.887636501720348,37.122075350156074,13.229955536813629,11,24.50517069922467
sample_I,B2-B4,True,timewalk_corrected,6,3400.0,4200.0,1098,3703.0,34.451381570168216,28.819673687479455,36.55381144291307,13.880295917134744,11,24.36080552951119
sample_I,B2-B4,True,timewalk_corrected,7,4200.0,5200.0,394,4554.0,45.72575915398027,36.679962851552816,47.089737863715456,12.543722907527533,10,32.3329943726823
sample_I,B2-B4,True,timewalk_corrected,8,5200.0,6500.0,134,5614.0,40.916067733953874,23.99520914587269,41.7661334327561,18.56036076282757,3,28.932028954166878
sample_I,B2-B4,True,timewalk_corrected,9,6500.0,8000.0,24,6963.0,,,,,0,
sample_I,B2-B4,True,timewalk_corrected,10,8000.0,,1,8005.0,,,,,0,
sample_I,B2-B6,True,raw_cfd20,0,1000.0,1250.0,150,1142.75,45.871645224146604,25.64160648613735,51.65715683832994,20.015718555398678,2,32.43615140217757
sample_I,B2-B6,True,raw_cfd20,1,1250.0,1550.0,182,1397.5,41.78135334280982,27.3127942904857,51.73954850663405,23.524378747518288,3,29.543878275852048
sample_I,B2-B6,True,raw_cfd20,2,1550.0,1900.0,222,1717.0,36.511220036865275,26.809109719167864,42.88729925901815,12.512248605441028,7,25.81733127746158
sample_I,B2-B6,True,raw_cfd20,3,1900.0,2300.0,292,2120.0,35.28683264737611,26.975046064186177,39.89531073642804,16.156332628892663,8,24.9515586515545
sample_I,B2-B6,True,raw_cfd20,4,2300.0,2800.0,457,2558.5,29.88021424358351,19.959698425420502,33.75205542973912,17.50691374043739,11,21.128502114944762
sample_I,B2-B6,True,raw_cfd20,5,2800.0,3400.0,571,3075.5,36.49968448338644,27.023736762237725,37.99698922121455,14.996966347590138,10,25.809174409371956
sample_I,B2-B6,True,raw_cfd20,6,3400.0,4200.0,303,3663.5,41.3057636167167,36.12105122874407,46.77680167762302,13.394597093775277,7,29.207585555468953
sample_I,B2-B6,True,raw_cfd20,7,4200.0,5200.0,81,4470.5,42.8670132178152,19.62255282416208,39.45254263923602,,0,30.31155573553049
sample_I,B2-B6,True,raw_cfd20,8,5200.0,6500.0,13,5429.0,,,,,0,
sample_I,B2-B6,True,raw_cfd20,9,6500.0,8000.0,1,7116.0,,,,,0,
sample_I,B2-B6,True,raw_cfd20,10,8000.0,,0,,,,,,0,
sample_I,B2-B6,True,timewalk_corrected,0,1000.0,1250.0,150,1142.75,44.49053100673625,26.944661929518624,49.8066199794762,14.356367874656822,2,31.459556173453553
sample_I,B2-B6,True,timewalk_corrected,1,1250.0,1550.0,182,1397.5,44.923424583193274,28.295036349922423,54.064619337773074,21.79647766743656,3,31.765658156898414
sample_I,B2-B6,True,timewalk_corrected,2,1550.0,1900.0,222,1717.0,34.40369419569833,28.480276967034207,43.83452311731143,12.047078887225458,7,24.32708546364655
sample_I,B2-B6,True,timewalk_corrected,3,1900.0,2300.0,292,2120.0,33.892128123818274,27.19741729768887,39.146985687189044,14.424832251612907,8,23.9653536251952
sample_I,B2-B6,True,timewalk_corrected,4,2300.0,2800.0,457,2558.5,26.111592322831488,20.173507746176764,30.27178165761142,14.397568838147816,11,18.463683999052737
sample_I,B2-B6,True,timewalk_corrected,5,2800.0,3400.0,571,3075.5,33.875620897920044,27.008819644361967,38.15891215847666,13.383711728941035,10,23.953681253823984
sample_I,B2-B6,True,timewalk_corrected,6,3400.0,4200.0,303,3663.5,40.980069216441876,36.24308304218962,46.22645840131475,12.966113115236514,7,28.977284836440138
sample_I,B2-B6,True,timewalk_corrected,7,4200.0,5200.0,81,4470.5,45.870556718040724,18.927726906753783,41.46654419401545,,0,32.43538171212874
sample_I,B2-B6,True,timewalk_corrected,8,5200.0,6500.0,13,5429.0,,,,,0,
sample_I,B2-B6,True,timewalk_corrected,9,6500.0,8000.0,1,7116.0,,,,,0,
sample_I,B2-B6,True,timewalk_corrected,10,8000.0,,0,,,,,,0,
sample_I,B2-B8,True,raw_cfd20,0,1000.0,1250.0,94,1103.0,56.21438173450434,29.69675636851119,54.74004527555044,,0,39.74957052467721
sample_I,B2-B8,True,raw_cfd20,1,1250.0,1550.0,77,1408.0,48.851388298982215,20.773348581125106,42.202439566392975,,0,34.54314793658748
sample_I,B2-B8,True,raw_cfd20,2,1550.0,1900.0,82,1752.25,39.862670433065794,8.98072528609181,40.18420337279684,,0,28.18716457942531
sample_I,B2-B8,True,raw_cfd20,3,1900.0,2300.0,99,2107.5,37.448373252820545,9.506182522385947,38.486106723842965,,0,26.479998671474334
sample_I,B2-B8,True,raw_cfd20,4,2300.0,2800.0,173,2583.0,26.241862389263286,13.12845273649668,29.520596616087634,0.34055231370187117,2,18.555798846412284
sample_I,B2-B8,True,raw_cfd20,5,2800.0,3400.0,199,3054.0,39.91433421433343,21.819484204212173,44.02361214508417,7.430619110639355,4,28.223696389501395
sample_I,B2-B8,True,raw_cfd20,6,3400.0,4200.0,118,3752.25,46.78895925368259,32.2134468699309,48.8674607147974,,0,33.08479037294002
