method,run,pair_a,pair_b,cov_ns2,pair_a_has_b2,pair_b_has_b2
traditional_saturation_ridge,45,B2-B8,B6-B8,-6.731250982252578,True,False
traditional_saturation_ridge,45,B4-B6,B4-B8,21.976007587405807,False,False
traditional_saturation_ridge,45,B4-B6,B6-B8,9.967840081824326,False,False
traditional_saturation_ridge,45,B4-B8,B6-B8,107.97139408009099,False,False
traditional_saturation_ridge,47,B2-B4,B2-B6,198.36592029049535,True,True
traditional_saturation_ridge,47,B2-B4,B2-B8,223.84589227413502,True,True
traditional_saturation_ridge,47,B2-B4,B4-B6,-54.205512393638294,True,False
traditional_saturation_ridge,47,B2-B4,B4-B8,-123.46843876621301,True,False
traditional_saturation_ridge,47,B2-B4,B6-B8,-67.54724239987812,True,False
traditional_saturation_ridge,47,B2-B6,B2-B8,198.82109447224892,True,True
traditional_saturation_ridge,47,B2-B6,B4-B6,-23.641854543566794,True,False
traditional_saturation_ridge,47,B2-B6,B4-B8,-88.00417414167839,True,False
traditional_saturation_ridge,47,B2-B6,B6-B8,-53.96814661929523,True,False
traditional_saturation_ridge,47,B2-B8,B4-B6,-84.23020513476106,True,False
traditional_saturation_ridge,47,B2-B8,B4-B8,-61.23224049248857,True,False
traditional_saturation_ridge,47,B2-B8,B6-B8,-31.16079890321819,True,False
traditional_saturation_ridge,47,B4-B6,B4-B8,51.51660435216326,False,False
traditional_saturation_ridge,47,B4-B6,B6-B8,22.172220928734568,False,False
traditional_saturation_ridge,47,B4-B8,B6-B8,44.97956864481163,False,False
traditional_saturation_ridge,48,B2-B4,B2-B6,270.2794832688022,True,True
traditional_saturation_ridge,48,B2-B4,B2-B8,188.65642917540694,True,True
traditional_saturation_ridge,48,B2-B4,B4-B6,-29.410770672776316,True,False
traditional_saturation_ridge,48,B2-B4,B4-B8,-14.98366510421309,True,False
traditional_saturation_ridge,48,B2-B4,B6-B8,-10.698618375789108,True,False
traditional_saturation_ridge,48,B2-B6,B2-B8,189.5000151898384,True,True
traditional_saturation_ridge,48,B2-B6,B4-B6,3.735301724664763,True,False
traditional_saturation_ridge,48,B2-B6,B4-B8,-7.85885785566061,True,False
traditional_saturation_ridge,48,B2-B6,B6-B8,-11.13709581328305,True,False
traditional_saturation_ridge,48,B2-B8,B4-B6,-11.448247740048243,True,False
traditional_saturation_ridge,48,B2-B8,B4-B8,11.674465953604793,True,False
traditional_saturation_ridge,48,B2-B8,B6-B8,10.862499060395843,True,False
traditional_saturation_ridge,48,B4-B6,B4-B8,25.484267172583845,False,False
traditional_saturation_ridge,48,B4-B6,B6-B8,17.692799873509696,False,False
traditional_saturation_ridge,48,B4-B8,B6-B8,43.60208677721373,False,False
traditional_saturation_ridge,49,B2-B4,B2-B6,172.8239335986973,True,True
traditional_saturation_ridge,49,B2-B4,B2-B8,402.82569449725753,True,True
traditional_saturation_ridge,49,B2-B4,B4-B6,-77.20969370000859,True,False
traditional_saturation_ridge,49,B2-B4,B4-B8,-49.21089752703241,True,False
traditional_saturation_ridge,49,B2-B4,B6-B8,-27.80855901067959,True,False
traditional_saturation_ridge,49,B2-B6,B2-B8,235.95630822157983,True,True
traditional_saturation_ridge,49,B2-B6,B4-B6,19.994926753751376,True,False
traditional_saturation_ridge,49,B2-B6,B4-B8,-31.767318577927956,True,False
traditional_saturation_ridge,49,B2-B6,B6-B8,-42.68102691019238,True,False
traditional_saturation_ridge,49,B2-B8,B4-B6,-31.634063066748492,True,False
traditional_saturation_ridge,49,B2-B8,B4-B8,-24.355219044106775,True,False
traditional_saturation_ridge,49,B2-B8,B6-B8,-13.116923830397631,True,False
traditional_saturation_ridge,49,B4-B6,B4-B8,16.482530797404618,False,False
traditional_saturation_ridge,49,B4-B6,B6-B8,8.97584023448739,False,False
traditional_saturation_ridge,49,B4-B8,B6-B8,32.4198029932474,False,False
traditional_saturation_ridge,50,B2-B4,B2-B6,251.2050314325652,True,True
traditional_saturation_ridge,50,B2-B4,B2-B8,127.82711100298795,True,True
traditional_saturation_ridge,50,B2-B4,B4-B6,-44.131922746723895,True,False
traditional_saturation_ridge,50,B2-B4,B4-B8,-52.14784912962413,True,False
traditional_saturation_ridge,50,B2-B4,B6-B8,-46.69148999180336,True,False
traditional_saturation_ridge,50,B2-B6,B2-B8,152.9263069427777,True,True
traditional_saturation_ridge,50,B2-B6,B4-B6,-6.0908254908077115,True,False
traditional_saturation_ridge,50,B2-B6,B4-B8,-29.831555476005413,True,False
