run,event_index,eventno,evt,group,depth_idx,multiplicity
31,672,392062,5540,sample_i_calib,0,1
31,675,392065,5542,sample_i_calib,0,1
31,679,392069,5546,sample_i_calib,0,1
31,680,392070,5546,sample_i_calib,0,1
31,681,392071,5547,sample_i_calib,0,1
31,682,392072,5548,sample_i_calib,0,1
31,686,392076,5552,sample_i_calib,0,1
31,688,392078,5554,sample_i_calib,0,1
31,691,392081,5556,sample_i_calib,0,1
31,693,392083,5558,sample_i_calib,0,1
31,695,392085,5560,sample_i_calib,0,1
31,696,392086,5561,sample_i_calib,0,1
31,698,392088,5563,sample_i_calib,0,1
31,700,392090,5565,sample_i_calib,0,1
31,701,392091,5566,sample_i_calib,0,1
31,702,392092,5567,sample_i_calib,0,1
31,703,392093,5568,sample_i_calib,0,1
31,705,392095,5570,sample_i_calib,0,1
31,707,392097,5572,sample_i_calib,0,1
31,711,392101,5575,sample_i_calib,0,1
31,713,392103,5577,sample_i_calib,0,1
31,716,392106,5580,sample_i_calib,0,1
31,717,392107,5581,sample_i_calib,0,1
31,719,392109,5583,sample_i_calib,0,1
31,720,392110,5584,sample_i_calib,0,1
31,721,392111,5585,sample_i_calib,0,1
31,724,392114,5588,sample_i_calib,0,1
31,725,392115,5589,sample_i_calib,0,1
31,726,392116,5590,sample_i_calib,0,1
31,729,392119,5593,sample_i_calib,0,1
31,731,392121,5595,sample_i_calib,0,1
31,732,392122,5596,sample_i_calib,0,1
31,733,392123,5596,sample_i_calib,0,1
31,735,392125,5598,sample_i_calib,0,1
31,739,392129,5601,sample_i_calib,0,1
31,740,392130,5602,sample_i_calib,0,1
31,741,392131,5603,sample_i_calib,0,1
31,744,392134,5606,sample_i_calib,0,1
31,745,392135,5607,sample_i_calib,0,1
31,746,392136,5608,sample_i_calib,0,1
31,747,392137,5609,sample_i_calib,0,1
31,750,392140,5612,sample_i_calib,0,1
31,752,392142,5614,sample_i_calib,0,1
31,756,392146,5618,sample_i_calib,0,1
31,757,392147,5619,sample_i_calib,0,1
31,761,392151,5622,sample_i_calib,0,1
31,763,392153,5623,sample_i_calib,0,1
31,766,392156,5626,sample_i_calib,0,1
31,767,392157,5627,sample_i_calib,0,1
