rep,traditional_res68,ml_res68,ml_minus_traditional_res68,traditional_depth_violation_rate,ml_depth_violation_rate
107,0.02161483926759917,0.027652840139578378,0.006038000871979209,0.0,0.0
108,0.020176653835938377,0.025238012557939178,0.005061358722000801,0.0,0.0
109,0.019118862279505454,0.023073346323532,0.0039544840440265475,0.0,0.0
110,0.020867319492351172,0.026767056419008763,0.00589973692665759,0.0,0.0
111,0.02038859325362045,0.02581783492062088,0.005429241667000428,0.0,0.0
112,0.01950810784192048,0.024345839046421337,0.004837731204500855,0.0,0.0
113,0.020019738690922006,0.02463682090065201,0.004617082209730006,0.0,0.0
114,0.019021194928401444,0.022238539173798397,0.003217344245396953,0.0,0.0
115,0.02065852803829596,0.024636356946315257,0.003977828908019298,0.0,0.0
116,0.020065446429898486,0.023984673315654997,0.003919226885756511,0.0,0.0
117,0.02138600342168806,0.028111818755443038,0.006725815333754978,0.0,0.0
118,0.019981884862090363,0.025696174241686104,0.005714289379595741,0.0,0.0
119,0.020969815810849935,0.026184898723124152,0.005215082912274217,0.0,0.0
120,0.019428199819058394,0.02410328659659623,0.004675086777537835,0.0,0.0
121,0.021281830308639713,0.02798535252129821,0.006703522212658498,0.0,0.0
122,0.020210865985792588,0.0260141800740132,0.005803314088220612,0.0,0.0
123,0.020845460231332453,0.02550168150385138,0.004656221272518926,0.0,0.0
124,0.020914690198904014,0.026265852435483933,0.0053511622365799184,0.0,0.0
125,0.02001760316543724,0.023932622149020467,0.003915018983583228,0.0,0.0
126,0.021303524849927178,0.024462750545716686,0.0031592256957895075,0.0,0.0
127,0.02060983662377096,0.026725527033848204,0.006115690410077243,0.0,0.0
128,0.020469441297485427,0.026595625299738714,0.006126184002253288,0.0,0.0
129,0.020388837086822712,0.0244135263346503,0.004024689247827586,0.0,0.0
130,0.020900664240222497,0.027306031426500968,0.00640536718627847,0.0,0.0
131,0.02108602920210187,0.025479171265719913,0.004393142063618044,0.0,0.0
132,0.02050647064180086,0.024581182789698945,0.004074712147898084,0.0,0.0
133,0.021198678270502754,0.02474145752911026,0.0035427792586075063,0.0,0.0
134,0.022004426519646642,0.029653913306025015,0.007649486786378373,0.0,0.0
135,0.020443284730056483,0.026456160515070846,0.006012875785014363,0.0,0.0
136,0.020476810523858094,0.024680281977005492,0.004203471453147398,0.0,0.0
137,0.020541443094236764,0.026168944512882812,0.005627501418646048,0.0,0.0
138,0.02045562758919464,0.02631336206294429,0.005857734473749647,0.0,0.0
139,0.019743369891515542,0.024764334408063103,0.005020964516547561,0.0,0.0
140,0.0201457701416433,0.024930775530000768,0.004785005388357466,0.0,0.0
141,0.019946237673141392,0.024513985118328724,0.004567747445187332,0.0,0.0
142,0.02004935492991573,0.025007253760371547,0.0049578988304558175,0.0,0.0
143,0.020663899661468234,0.0254715507397283,0.004807651078260065,0.0,0.0
144,0.020478867385449406,0.025953036732818596,0.00547416934736919,0.0,0.0
145,0.020282923909777803,0.028025708621594765,0.007742784711816962,0.0,0.0
146,0.020460865567674128,0.02644397147225314,0.005983105904579011,0.0,0.0
147,0.02114977361941716,0.026578516546800837,0.005428742927383677,0.0,0.0
148,0.020491836757846903,0.024869010213754626,0.004377173455907723,0.0,0.0
149,0.01951882807000889,0.02402675267439651,0.00450792460438762,0.0,0.0
150,0.021338504769899794,0.0251275211833164,0.0037890164134166057,0.0,0.0
151,0.020106637642630994,0.024397365785328817,0.004290728142697823,0.0,0.0
152,0.021342528326060255,0.028971482643582257,0.007628954317522002,0.0,0.0
153,0.020578545423478114,0.025561136548205726,0.004982591124727612,0.0,0.0
154,0.020198133607217884,0.024906997894346944,0.00470886428712906,0.0,0.0
155,0.021390300304467515,0.029244331656626765,0.00785403135215925,0.0,0.0
156,0.02016018569493212,0.025976034320886715,0.005815848625954596,0.0,0.0
157,0.020208432835054482,0.02434917461847127,0.004140741783416786,0.0,0.0
158,0.02083307695691662,0.026431486067184207,0.005598409110267585,0.0,0.0
159,0.02072859716479554,0.024362503759667302,0.003633906594871762,0.0,0.0
160,0.02043198672759708,0.024208942266614512,0.0037769555390174334,0.0,0.0
161,0.020970663900860075,0.02610591070145886,0.005135246800598785,0.0,0.0
162,0.020178616943374965,0.025015811943760426,0.0048371950003854615,0.0,0.0
163,0.01933979551129839,0.02353623872531535,0.0041964432140169615,0.0,0.0
164,0.021150901328519964,0.027632144513028544,0.00648124318450858,0.0,0.0
165,0.021586192142644352,0.0268116006234878,0.005225408480843449,0.0,0.0
166,0.021624742013634173,0.030829292447278608,0.009204550433644435,0.0,0.0
167,0.019244794818703496,0.022876236203388457,0.00363144138468496,0.0,0.0
168,0.020218379847398053,0.02488258455219244,0.004664204704794388,0.0,0.0
169,0.021007990486636135,0.025606751237826856,0.004598760751190721,0.0,0.0
170,0.02038407621383793,0.025629565561440363,0.005245489347602432,0.0,0.0
171,0.01981721491072412,0.0240863986492039,0.00426918373847978,0.0,0.0
