method,spacing_cm,split,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf,heldout_run,table,candidate,alpha,fold,n_features
cfd40,2.0,heldout,2424,-2.5408963229593837,3.4424995774391984,7.450630765263077,0.12334983498349834,200.30484481274667,3.570651349280473,60,traditional_scan,,,,
cfd50,2.0,train,9036,-2.074400412990336,3.594408256000615,6.691654536198972,0.1397742363877822,186.59163115049057,6.2255072485749405,60,traditional_scan,,,,
cfd50,2.0,heldout,2424,-2.304352394268168,3.604317660973906,7.7198444874179595,0.1613036303630363,1.4651658658934192,2.555363053698972,60,traditional_scan,,,,
template_phase,2.0,train,9036,-3.327857976325543,2.6639289881627697,3.2848153176790413,0.06341301460823373,1.2210323094281843,194.87290305090895,60,traditional_scan,,,,
template_phase,2.0,heldout,2424,-3.7331089522876297,2.6639289881627697,3.2789954013216214,0.09447194719471948,0.7984457947654724,53.718953001264204,60,traditional_scan,,,,
of_1_9,2.0,train,9036,-3.0183501008994824,3.363401479383354,3.800538872345413,0.15183709606020362,138.105062111993,9.715207377417215,60,traditional_scan,,,,
of_1_9,2.0,heldout,2424,-3.392567415104409,3.414239973412691,3.9097235901388014,0.17615511551155116,8.46473143686993,3.845271964726242,60,traditional_scan,,,,
of_2_10,2.0,train,9036,-3.179488046307629,3.4070277222010485,3.847254614750194,0.15925188136343515,10.23890328036268,9.970154571005073,60,traditional_scan,,,,
of_2_10,2.0,heldout,2424,-3.5441632833666574,3.459504262156601,3.927119663734471,0.18523102310231024,5.179806332675749,3.7111640812070283,60,traditional_scan,,,,
of_3_11,2.0,train,9036,-3.361824671223175,3.3642947079043055,3.875980128333779,0.15084108012394865,12.336774758374098,10.33246717811479,60,traditional_scan,,,,
of_3_11,2.0,heldout,2424,-3.67430845782318,3.536462547531122,3.92102746424851,0.17037953795379537,1.2296613321471612,2.8136419990161574,60,traditional_scan,,,,
,,,2799,,2.091545204523262,,,,,60,analytic_cv,amp_only,0.0,0.0,6.0
,,,2838,,1.3251335649892086,,,,,60,analytic_cv,amp_only,0.0,1.0,6.0
,,,3399,,1.3640696444962463,,,,,60,analytic_cv,amp_only,0.0,2.0,6.0
,,,0,,1.5935828046695724,,,,,60,analytic_cv,amp_only,0.0,-1.0,6.0
,,,2799,,2.0916881270484726,,,,,60,analytic_cv,amp_only,0.01,0.0,6.0
,,,2838,,1.3248178910903077,,,,,60,analytic_cv,amp_only,0.01,1.0,6.0
,,,3399,,1.366222031430433,,,,,60,analytic_cv,amp_only,0.01,2.0,6.0
,,,0,,1.5942426831897378,,,,,60,analytic_cv,amp_only,0.01,-1.0,6.0
,,,2799,,2.0957227368716276,,,,,60,analytic_cv,amp_only,0.1,0.0,6.0
,,,2838,,1.324634530131757,,,,,60,analytic_cv,amp_only,0.1,1.0,6.0
,,,3399,,1.3739827076990951,,,,,60,analytic_cv,amp_only,0.1,2.0,6.0
,,,0,,1.5981133249008266,,,,,60,analytic_cv,amp_only,0.1,-1.0,6.0
,,,2799,,2.0992318496587488,,,,,60,analytic_cv,amp_only,1.0,0.0,6.0
,,,2838,,1.398629798765025,,,,,60,analytic_cv,amp_only,1.0,1.0,6.0
,,,3399,,1.3868133826123592,,,,,60,analytic_cv,amp_only,1.0,2.0,6.0
,,,0,,1.6282250103453777,,,,,60,analytic_cv,amp_only,1.0,-1.0,6.0
,,,2799,,2.098821915218444,,,,,60,analytic_cv,amp_only,10.0,0.0,6.0
,,,2838,,1.3996736322083763,,,,,60,analytic_cv,amp_only,10.0,1.0,6.0
,,,3399,,1.3882158760616123,,,,,60,analytic_cv,amp_only,10.0,2.0,6.0
,,,0,,1.6289038078294775,,,,,60,analytic_cv,amp_only,10.0,-1.0,6.0
,,,2799,,2.0828542318326826,,,,,60,analytic_cv,amp_only,100.0,0.0,6.0
,,,2838,,1.3318548624978486,,,,,60,analytic_cv,amp_only,100.0,1.0,6.0
,,,3399,,1.3083076177833302,,,,,60,analytic_cv,amp_only,100.0,2.0,6.0
,,,0,,1.5743389040379538,,,,,60,analytic_cv,amp_only,100.0,-1.0,6.0
,,,2799,,2.133907020434906,,,,,60,analytic_cv,amp_rise_shape,0.0,0.0,14.0
,,,2838,,1.4102656522746388,,,,,60,analytic_cv,amp_rise_shape,0.0,1.0,14.0
,,,3399,,1.3422512948104504,,,,,60,analytic_cv,amp_rise_shape,0.0,2.0,14.0
,,,0,,1.6288079891733318,,,,,60,analytic_cv,amp_rise_shape,0.0,-1.0,14.0
,,,2799,,2.133875139669377,,,,,60,analytic_cv,amp_rise_shape,0.01,0.0,14.0
,,,2838,,1.4092965325094327,,,,,60,analytic_cv,amp_rise_shape,0.01,1.0,14.0
,,,3399,,1.3438558438078507,,,,,60,analytic_cv,amp_rise_shape,0.01,2.0,14.0
