split,method,run,group,n,bias_median_frac,res68_abs_frac,full_rms_frac,within_5pct,within_10pct
train_B4_B6_B8_holdout_B2,peak_loglinear,45,sample_i_analysis,22768,-0.9997813610269499,0.9998358907032083,0.9996493880149643,0.0,0.0
train_B4_B6_B8_holdout_B2,peak_loglinear,46,sample_i_analysis,674,-0.999774925822215,0.9998223302338017,0.9996800304584854,0.0,0.0
train_B4_B6_B8_holdout_B2,peak_loglinear,47,sample_i_analysis,5115,-0.9997843665768195,0.9998373126652657,0.9996970816252402,0.0,0.0
train_B4_B6_B8_holdout_B2,peak_loglinear,48,sample_i_analysis,13031,-0.9997470915528579,0.9998059458196346,0.999620778207893,0.0,0.0
train_B4_B6_B8_holdout_B2,peak_loglinear,49,sample_i_analysis,13759,-0.9997522299306244,0.9998094875214326,0.9996190266142708,0.0,0.0
train_B4_B6_B8_holdout_B2,peak_loglinear,50,sample_i_analysis,34083,-0.9998622874061833,0.9998748573372752,0.999816918310487,0.0,0.0
train_B4_B6_B8_holdout_B2,peak_loglinear,51,sample_i_analysis,14198,-0.9998569128955421,0.9998719586989778,0.999787994508657,0.0,0.0
train_B4_B6_B8_holdout_B2,peak_loglinear,52,sample_i_analysis,6892,-0.9998583117847395,0.9998723167359916,0.9997931354092832,0.0,0.0
train_B4_B6_B8_holdout_B2,peak_loglinear,53,sample_i_analysis,31219,-0.9998521803399852,0.9998654557685839,0.9998117610391464,0.0,0.0
train_B4_B6_B8_holdout_B2,peak_loglinear,54,sample_i_analysis,29492,-0.9998522567777203,0.999865528138237,0.9998164538833784,0.0,0.0
train_B4_B6_B8_holdout_B2,peak_loglinear,55,sample_i_analysis,16730,-0.9998556686151404,0.999869969442819,0.9997869928260642,0.0,0.0
train_B4_B6_B8_holdout_B2,peak_loglinear,56,sample_i_analysis,38721,-0.9998610628690517,0.9998739442833733,0.9998116239979924,0.0,0.0
train_B4_B6_B8_holdout_B2,peak_loglinear,57,sample_i_analysis,12760,-0.9997471554993679,0.9998072125633826,0.9996059651044958,0.0,0.0
train_B4_B6_B8_holdout_B2,peak_loglinear,58,sample_ii_analysis,15790,-0.9997546463831779,0.9998044009779951,0.9996993694762165,0.0,0.0
train_B4_B6_B8_holdout_B2,peak_loglinear,59,sample_ii_analysis,13562,-0.9996747438607904,0.9997361477572559,0.999532263213205,0.0,0.0
train_B4_B6_B8_holdout_B2,peak_loglinear,60,sample_ii_analysis,9865,-0.9996832937450515,0.9997330685266408,0.9995227948721185,0.0,0.0
