method,stratum,value,n_events,n_valid,energy_bias,energy_sigma68,saturated_energy_sigma68,saturation_knee_accuracy,saturation_knee_calibration_abs,pedestal_high_minus_low_bias,pid_auc,pid_calibration_ece,timing_residual_bias_ns,timing_residual_sigma68_ns,pileup_merge_rate,false_split_rate,coverage90,coverage90_abs_error
mlp,pedestal_state,shifted,552.0,237.0,-0.0015671071193305598,0.1710143157263696,0.056796672330652956,0.980072463768116,0.005434782608695652,,0.9770691213939344,0.4742898380114015,-3.146217305971364,10.44581279662031,0.3862815884476534,0.24363636363636362,0.7637130801687764,0.13628691983122365
mlp,pileup_bin,clean,430.0,103.0,0.05937135920424308,0.20722123869050166,,0.9906976744186047,0.009302325581395349,0.06425225409370573,0.9894859813084111,0.42220979258632757,-5.0184782766593194,10.962027526379817,,0.23953488372093024,0.6893203883495146,0.21067961165048543
mlp,pileup_bin,pileup,430.0,266.0,-0.015332674058459821,0.12376262578604988,0.05332371334499218,0.9837209302325581,0.002325581395348837,-0.0010602561040171828,0.9785865269736237,0.5080575217485549,-0.8449970044692989,8.568913783165074,0.3813953488372093,,0.868421052631579,0.03157894736842104
mlp,clip_bin,hard_clip,2.0,2.0,-0.02790545279654224,0.025384639201239394,0.025384639201239394,1.0,0.0,0.07466070353305705,,0.018546915290396426,-6.863005927677214,2.6696482315132926,0.0,,1.0,0.09999999999999998
mlp,clip_bin,mild_clip,7.0,6.0,-0.06330199887987485,0.042557479962405935,0.042557479962405935,0.8571428571428571,0.1428571428571429,0.051015638813745094,0.7,0.2487652586643041,-0.6811174037118661,2.7370308654285154,0.14285714285714285,,1.0,0.09999999999999998
mlp,clip_bin,unclipped,851.0,361.0,-0.0033224578308060824,0.15230750959116868,0.07374314361802056,0.9882491186839013,0.004700352526439484,0.013084186442801113,0.9821800636034653,0.4680501553277675,-2.151271564850976,9.565777377557863,0.38717339667458434,0.23953488372093024,0.814404432132964,0.08559556786703604
mlp,morphology_state,late_tail_high,436.0,125.0,-0.011761400559535886,0.11239232539075317,0.0419475507104435,0.9885321100917431,0.006880733944954129,-0.05987391554187471,0.9883177570093458,0.448101006018877,-1.9883186996693247,7.575289811093786,0.5080213903743316,0.13253012048192772,0.88,0.020000000000000018
mlp,morphology_state,late_tail_low,424.0,244.0,-0.002674804914048845,0.16543420472265608,0.05412571467155833,0.9858490566037735,0.0,0.025056273523748722,0.9810941746425617,0.48264836448058746,-2.714109435825569,9.81799722509328,0.2839506172839506,0.3867403314917127,0.7868852459016393,0.11311475409836069
mlp,stave,B2,215.0,61.0,0.0034195354033331395,0.2527073425883539,0.04608852582378306,0.9627906976744186,0.0,0.08892566608287239,0.9555719194894453,0.4944472623217015,0.7484418188502584,11.135970354550203,0.5631067961165048,0.14285714285714285,0.6557377049180327,0.24426229508196728
mlp,stave,B4,233.0,114.0,0.03362343416569091,0.1721806877002975,0.0,0.9914163090128756,0.008583690987124463,0.07271964837330469,0.9988888888888889,0.45506971839843885,-4.200144143562108,11.8697763238738,0.35772357723577236,0.3181818181818182,0.7719298245614035,0.12807017543859656
mlp,stave,B6,208.0,91.0,-0.04158681770639516,0.1255451528976694,0.01778468788770762,0.9951923076923077,0.004807692307692308,-0.06566802341673221,,0.44009697194411207,-4.093344915055912,8.140505403354048,0.37037037037037035,0.23,0.9120879120879121,0.012087912087912045
mlp,stave,B8,204.0,103.0,-0.008481814657529178,0.11438275461050765,,1.0,0.0,-0.04555508323298444,,0.471261613792265,0.06799475227633245,7.90569371311029,0.22916666666666666,0.26851851851851855,0.883495145631068,0.01650485436893201
mlp,pid_proxy_class,inner_high_charge,29.0,23.0,-0.00827181301175816,0.09708281691887066,0.056796672330652956,0.7586206896551724,0.03448275862068967,0.06280966575885825,,0.08487350178527522,-2.8262143710604626,6.175277490477491,0.18518518518518517,0.5,0.9565217391304348,0.05652173913043479
mlp,pid_proxy_class,other,831.0,346.0,-0.006436665301482037,0.15347778347460955,0.01778468788770762,0.9951865222623345,0.0048134777376654635,0.009088199671227119,,0.4843276494774638,-2.1153977684837155,9.59713344460268,0.3945409429280397,0.2383177570093458,0.8092485549132948,0.09075144508670518
ridge,pedestal_state,nominal,308.0,130.0,0.016513754373271683,0.06548066005644924,0.008381663684225441,0.9967532467532467,0.003246753246753246,,0.9955849889624725,0.4399934796733219,0.11170700994103999,6.6604657208989755,0.33986928104575165,0.1870967741935484,0.9153846153846154,0.01538461538461533
