heldout_run,consumer,method,variant,train_rows,epochs,target_center,target_scale
62,timing,mlp,plus_score,9039.0,,,
62,timing,mlp,score_residualized,9039.0,,,
62,timing,mlp,shuffled_score_control,9039.0,,,
62,timing,cnn1d,no_score,,5.0,1.0607882297125286,3.6603739818885668
62,timing,cnn1d,plus_score,,5.0,1.0607882297125286,3.6603739818885668
62,timing,cnn1d,score_residualized,,5.0,1.0607882297125286,3.6603739818885668
62,timing,cnn1d,shuffled_score_control,,5.0,1.0607882297125286,3.6603739818885668
62,timing,score_gated_cnn,no_score,,5.0,1.0607882297125286,3.6603739818885668
62,timing,score_gated_cnn,plus_score,,5.0,1.0607882297125286,3.6603739818885668
62,timing,score_gated_cnn,score_residualized,,5.0,1.0607882297125286,3.6603739818885668
62,timing,score_gated_cnn,shuffled_score_control,,5.0,1.0607882297125286,3.6603739818885668
62,charge,traditional,no_score,9039.0,,,
62,charge,traditional,plus_score,9039.0,,,
62,charge,traditional,score_residualized,9039.0,,,
62,charge,traditional,shuffled_score_control,9039.0,,,
62,charge,ridge,no_score,9039.0,,,
62,charge,ridge,plus_score,9039.0,,,
62,charge,ridge,score_residualized,9039.0,,,
62,charge,ridge,shuffled_score_control,9039.0,,,
62,charge,gradient_boosted_trees,no_score,9039.0,,,
62,charge,gradient_boosted_trees,plus_score,9039.0,,,
62,charge,gradient_boosted_trees,score_residualized,9039.0,,,
62,charge,gradient_boosted_trees,shuffled_score_control,9039.0,,,
62,charge,extra_trees,no_score,9039.0,,,
62,charge,extra_trees,plus_score,9039.0,,,
62,charge,extra_trees,score_residualized,9039.0,,,
62,charge,extra_trees,shuffled_score_control,9039.0,,,
62,pileup,traditional,no_score,9039.0,,,
62,pileup,traditional,plus_score,9039.0,,,
62,pileup,traditional,score_residualized,9039.0,,,
62,pileup,traditional,shuffled_score_control,9039.0,,,
62,pileup,ridge,no_score,9039.0,,,
62,pileup,ridge,plus_score,9039.0,,,
62,pileup,ridge,score_residualized,9039.0,,,
62,pileup,ridge,shuffled_score_control,9039.0,,,
62,pileup,gradient_boosted_trees,no_score,9039.0,,,
62,pileup,gradient_boosted_trees,plus_score,9039.0,,,
62,pileup,gradient_boosted_trees,score_residualized,9039.0,,,
62,pileup,gradient_boosted_trees,shuffled_score_control,9039.0,,,
62,pileup,extra_trees,no_score,9039.0,,,
62,pileup,extra_trees,plus_score,9039.0,,,
62,pileup,extra_trees,score_residualized,9039.0,,,
62,pileup,extra_trees,shuffled_score_control,9039.0,,,
62,pid,traditional,no_score,9039.0,,,
62,pid,traditional,plus_score,9039.0,,,
62,pid,traditional,score_residualized,9039.0,,,
62,pid,traditional,shuffled_score_control,9039.0,,,
62,pid,ridge,no_score,9039.0,,,
62,pid,ridge,plus_score,9039.0,,,
62,pid,ridge,score_residualized,9039.0,,,
62,pid,ridge,shuffled_score_control,9039.0,,,
62,pid,gradient_boosted_trees,no_score,9039.0,,,
62,pid,gradient_boosted_trees,plus_score,9039.0,,,
